  record# Type Ch         TimeTag        TrueTime/ns    DTime
       609 CHN 0            3263742          163187671   2863
       611 CHN 0            3265610          163281071   1081
       613 CHN 0            3273191          163660123   1001
       615 CHN 0            3302024          165101778   1138
       617 CHN 0            3305345          165267828   1761
       619 CHN 0            3313061          165653630   1052
       621 CHN 0            3325785          166289832   1274
       623 CHN 0            3331216          166561383   1066
       624 CHN 0            3331377          166569433   1003
       626 CHN 0            3341684          167084785   1050
       628 CHN 0            3352997          167650437   2004
       630 CHN 0            3356781          167839637   1034
       632 CHN 0            3372474          168624290   1015
       634 CHN 0            3376016          168801391   1020
       637 CHN 0            3404352          170218196   1044
       639 CHN 0            3405670          170284096   1152
       641 CHN 0            3434893          171745251   2063
       643 CHN 0            3437793          171890252    523
       645 CHN 0            3446552          172328203   1011
       647 CHN 0            3448908          172446004    999
       649 CHN 0            3450771          172539154   2308
       651 CHN 0            3463631          173182156    986
       653 CHN 0            3470122          173506707   1010
       655 CHN 0            3493361          174668661   1056
       657 CHN 0            3503204          175160813    997
       659 CHN 0            3511474          175574315   1079
       661 CHN 0            3521009          176051066   1019
       663 CHN 0            3523302          176165717   1077
       665 CHN 0            3531587          176579968   1150
       667 CHN 0            3538277          176914469   1124
       669 CHN 0            3551738          177587522   1053
       671 CHN 0            3556855          177843372   1019
       673 CHN 0            3559663          177983773   1103
       674 CHN 0            3560263          178013773   1053
       676 CHN 0            3566847          178342974   1043
       678 CHN 0            3567961          178398674    993
       680 CHN 0            3582424          179121827   1079
       682 CHN 0            3585729          179287078    108
       685 CHN 0            3653776          182689439   1071
       687 CHN 0            3669921          183496692   1017
       689 CHN 0            3674748          183738043   1084
       691 CHN 0            3684379          184219595   1028
       693 CHN 0            3690861          184543696   1109
       695 CHN 0            3694128          184707046   2597
       697 CHN 0            3713359          185668600   1165
       699 CHN 0            3716972          185849250    625
       701 CHN 0            3723978          186199552   1203
       703 CHN 0            3739681          186984704   1055
       705 CHN 0            3742321          187116705   1846
       707 CHN 0            3747526          187376956   1006
       709 CHN 0            3756721          187836707   3000
       711 CHN 0            3759800          187990658   1022
       713 CHN 0            3782053          189103312   1037
       715 CHN 0            3815652          190783268   1090
       717 CHN 0            3819064          190953868   1981
       719 CHN 0            3821602          191080769   1032
       721 CHN 0            3849658          192483574   2774
       723 CHN 0            3852002          192600774   1024
       725 CHN 0            3861205          193060926   1087
       727 CHN 0            3863896          193195476   1809
       729 CHN 0            3864898          193245576   1026
       730 CHN 0            3865251          193263226    700
       732 CHN 0            3873368          193669078   1050
       734 CHN 0            3874275          193714428    990
       736 CHN 0            3875850          193793178   1091
       738 CHN 0            3886695          194335430   1038
       740 CHN 0            3911877          195594535   1052
       742 CHN 0            3915961          195798735   1033
       744 CHN 0            3921396          196070486   1006
       746 CHN 0            3924095          196205437    998
       748 CHN 0            3932190          196610188   1020
       750 CHN 0            3943014          197151390   1735
       752 CHN 0            3947653          197383341   1024
       754 CHN 0            3951180          197559691   1013
       756 CHN 0            3968626          198431995    698
       758 CHN 0            3981838          199092597   2941
       760 CHN 0            3982888          199145097   1098
       762 CHN 0            3994138          199707599   1093
       765 CHN 0            4022968          201149104   1022
       767 CHN 0            4044070          202204208    615
       769 CHN 0            4051921          202596759    995
       771 CHN 0            4062425          203121961   1037
       773 CHN 0            4077464          203873914   1223
       775 CHN 0            4078067          203904064    993
       777 CHN 0            4091934          204597416   1007
       779 CHN 0            4093925          204696966   1037
       781 CHN 0            4094679          204734667    208
       783 CHN 0            4102347          205118068   1022
       785 CHN 0            4118026          205902021   1002
       787 CHN 0            4120565          206028971   2624
       789 CHN 0            4122891          206145272   1123
       791 CHN 0            4124951          206248272    996
       793 CHN 0            4127190          206360222   1009
       795 CHN 0            4129947          206498073   1063
       797 CHN 0            4135374          206769424   1014
       799 CHN 0            4152137          207607577   1013
       801 CHN 0            4153732          207687327   1002
       803 CHN 0            4163414          208171429   1142
       805 CHN 0            4170815          208541480   2701
       807 CHN 0            4178116          208906531    694
       809 CHN 0            4185183          209259882    997
       811 CHN 0            4193346          209668034   1023
       813 CHN 0            4207184          210359936   1015
       815 CHN 0            4221038          211052639   1175
       817 CHN 0            4228302          211415840   1024
       819 CHN 0            4234181          211709791   1003
       821 CHN 0            4251330          212567244   1001
       823 CHN 0            4264353          213218396   1010
       825 CHN 0            4277314          213866449   1222
       827 CHN 0            4300402          215020853   1118
       830 CHN 0            4324413          216221407   1176
       832 CHN 0            4326834          216342457    995
       834 CHN 0            4332551          216628308    974
       836 CHN 0            4340942          217047860   1193
       838 CHN 0            4349906          217496061   1051
       840 CHN 0            4372577          218629615    987
       842 CHN 0            4394833          219742419   1021
       844 CHN 0            4401813          220091420   1024
       846 CHN 0            4406763          220338921   1079
       848 CHN 0            4409847          220493122   1190
       851 CHN 0            4457155          222858530   1030
       853 CHN 0            4463591          223180331   1040
       855 CHN 0            4477367          223869134   1124
       857 CHN 0            4489808          224491186    730
       859 CHN 0            4493993          224700436   2309
       861 CHN 0            4500590          225030288   1066
       863 CHN 0            4504266          225214088    690
       865 CHN 0            4509957          225498639    688
       867 CHN 0            4511134          225557489   1073
       869 CHN 0            4519825          225992041   3072
       871 CHN 0            4539297          226965644   1138
       873 CHN 0            4540475          227024545   1135
       875 CHN 0            4542592          227130395   1079
       877 CHN 0            4549167          227459146   1043
       879 CHN 0            4549780          227489796   1022
       881 CHN 0            4557840          227892798   1096
       883 CHN 0            4574963          228748951   1013
       885 CHN 0            4579495          228975551   1035
       887 CHN 0            4583498          229175702   1032
       888 CHN 0            4584434          229222502   1051
       890 CHN 0            4621898          231095709   1161
       892 CHN 0            4629167          231459160   1020
       894 CHN 0            4633075          231654561   1086
       896 CHN 0            4638216          231911612    984
       898 CHN 0            4647055          232353563   1070
       900 CHN 0            4649327          232467164    706
       902 CHN 0            4652823          232641964   1096
       904 CHN 0            4665298          233265716   1026
       906 CHN 0            4666804          233341017    713
       907 CHN 0            4667249          233363267    679
       909 CHN 0            4674047          233703168   1208
       911 CHN 0            4692293          234615471   1023
       913 CHN 0            4694434          234722522   1074
       915 CHN 0            4717363          235868976   1089
       917 CHN 0            4717657          235883676   1017
       919 CHN 0            4734633          236732479   1032
       921 CHN 0            4742781          237139880   1062
       923 CHN 0            4748417          237421681   1037
       925 CHN 0            4757961          237898883   1013
       927 CHN 0            4762580          238129833   1030
       929 CHN 0            4779478          238974736   1218
       931 CHN 0            4789277          239464688   1613
       933 CHN 0            4806077          240304691   1007
       935 CHN 0            4814076          240704642    993
       937 CHN 0            4823452          241173444   1040
       939 CHN 0            4826411          241321395   1115
       941 CHN 0            4834868          241744246    703
       943 CHN 0            4846161          242308898    988
       945 CHN 0            4852693          242635499     27
       947 CHN 0            4869255          243463602   1154
       949 CHN 0            4875986          243800153    990
       951 CHN 0            4876703          243836003    628
       952 CHN 0            4877070          243854353    975
       954 CHN 0            4889619          244481806    991
       956 CHN 0            4892334          244617556   1022
       958 CHN 0            4893973          244699506   1081
       960 CHN 0            4896783          244840007    195
       962 CHN 0            4903843          245193008   1029
       964 CHN 0            4923916          246196662   1045
       966 CHN 0            4931402          246570963   1029
       968 CHN 0            4954818          247741767   1014
       970 CHN 0            4963306          248166169   1018
       972 CHN 0            4969177          248459720    985
       974 CHN 0            4993571          249679424   1112
       976 CHN 0            5006701          250335926    991
       978 CHN 0            5010171          250509427   1053
       981 CHN 0            5043540          252177883   1048
       983 CHN 0            5072685          253635138   1058
       985 CHN 0            5080445          254023139   1035
       987 CHN 0            5092065          254604141   1025
       989 CHN 0            5097301          254865942    984
       991 CHN 0            5105159          255258843   1171
       993 CHN 0            5105938          255297794   1127
       995 CHN 0            5113649          255683345   1210
       997 CHN 0            5115417          255771745   1099
      1000 CHN 0            5175810          258791406   1029
      1002 CHN 0            5177720          258886906   1037
      1004 CHN 0            5184437          259222757   1039
      1006 CHN 0            5190094          259505608   1067
      1008 CHN 0            5193470          259674409   1002
      1010 CHN 0            5195585          259780159   1017
      1012 CHN 0            5206183          260310061   1045
      1014 CHN 0            5210798          260540812   1005
      1016 CHN 0            5211365          260569162   1040
      1018 CHN 0            5214770          260739413   1068
      1020 CHN 0            5216921          260846963    999
      1022 CHN 0            5232783          261640066   1749
      1025 CHN 0            5272250          263613423   1070
      1027 CHN 0            5273021          263651973   1000
      1029 CHN 0            5287737          264387775   1012
      1031 CHN 0            5290234          264512626   1005
      1033 CHN 0            5292675          264634676    985
      1035 CHN 0            5302483          265125078    991
      1037 CHN 0            5314840          265742930   1002
      1039 CHN 0            5324558          266228832    989
      1041 CHN 0            5332985          266650183    995
      1043 CHN 0            5334217          266711783   1008
      1045 CHN 0            5344107          267206285   1019
      1047 CHN 0            5350511          267526486   1039
      1049 CHN 0            5356414          267821637   1114
      1051 CHN 0            5357874          267894638   2361
      1053 CHN 0            5365335          268267689   1002
      1056 CHN 0            5417563          270879098    978
      1058 CHN 0            5418707          270936298   1072
      1060 CHN 0            5428078          271404850   1131
      1062 CHN 0            5428737          271437800   1188
      1064 CHN 0            5429370          271469450   1068
      1066 CHN 0            5433768          271689351    695
      1068 CHN 0            5435712          271786551    991
      1070 CHN 0            5437251          271863502   1088
      1072 CHN 0            5440068          272004352   1025
      1074 CHN 0            5440827          272042302   1054
      1076 CHN 0            5453894          272695654   1097
      1077 CHN 0            5454558          272728855   1022
      1079 CHN 0            5459376          272969755    989
      1081 CHN 0            5461141          273058006   2087
      1083 CHN 0            5479837          273992809   1072
      1085 CHN 0            5497698          274885862   1051
      1087 CHN 0            5499898          274995862   1055
      1089 CHN 0            5517563          275879116   1012
      1091 CHN 0            5527379          276369917    995
      1093 CHN 0            5544509          277226420   2303
      1095 CHN 0            5554789          277740422   1016
      1097 CHN 0            5556225          277812222   1010
      1099 CHN 0            5568678          278434875    991
      1100 CHN 0            5569520          278476975   1046
      1102 CHN 0            5573859          278693925   1088
      1104 CHN 0            5587069          279354428   1014
      1107 CHN 0            5625987          281300335   1005
      1109 CHN 0            5642071          282104537    994
      1111 CHN 0            5645014          282251688   1033
      1113 CHN 0            5645775          282289738   2016
      1115 CHN 0            5646556          282328788   1281
      1117 CHN 0            5650597          282530839   1044
      1118 CHN 0            5650776          282539789   1135
      1120 CHN 0            5655493          282775640   1021
      1122 CHN 0            5659156          282958790   1102
      1124 CHN 0            5678672          283934594   1017
      1126 CHN 0            5697306          284866297   1045
      1128 CHN 0            5702561          285129048   1044
      1130 CHN 0            5713812          285691600   1004
      1132 CHN 0            5715249          285763450    682
      1134 CHN 0            5727003          286351152   1046
      1136 CHN 0            5731091          286555553   1058
      1138 CHN 0            5737711          286886554   1003
      1140 CHN 0            5753788          287690407   1042
      1142 CHN 0            5756146          287808307   1000
      1144 CHN 0            5759582          287980108   1221
      1146 CHN 0            5768859          288443960   1024
      1148 CHN 0            5787519          289376963   1072
      1150 CHN 0            5793935          289697764    483
      1152 CHN 0            5807894          290395716   1062
      1154 CHN 0            5815550          290778518   1150
      1157 CHN 0            5857419          292871975   1122
      1159 CHN 0            5863922          293197126   2204
      1161 CHN 0            5871082          293555127   1106
      1162 CHN 0            5871444          293573228   1033
      1164 CHN 0            5888145          294408280   1031
      1166 CHN 0            5892709          294636481   1001
      1168 CHN 0            5904163          295209183   1070
      1170 CHN 0            5910580          295530034   1024
      1172 CHN 0            5912360          295619035    997
      1174 CHN 0            5923158          296158937   1071
      1176 CHN 0            5935114          296756739   1097
      1178 CHN 0            5942134          297107740   1011
      1180 CHN 0            5947814          297391741    997
      1182 CHN 0            5965172          298259644    992
      1184 CHN 0            5984429          299222497   1038
      1186 CHN 0            5992128          299607449   2907
      1188 CHN 0            6004152          300208651   1023
      1190 CHN 0            6008368          300419451   1155
      1192 CHN 0            6009473          300474702    989
      1194 CHN 0            6027764          301389255   1033
      1196 CHN 0            6030587          301530405    861
      1198 CHN 0            6034905          301746306    701
      1200 CHN 0            6047644          302383258   1155
      1202 CHN 0            6056610          302831560   1057
      1204 CHN 0            6060436          303022861   1441
      1206 CHN 0            6061877          303094911    655
      1208 CHN 0            6077779          303890014   1523
      1210 CHN 0            6091378          304569966   1043
      1212 CHN 0            6094044          304703266   1002
      1215 CHN 0            6145217          307261925    721
      1217 CHN 0            6146502          307326176   1039
      1219 CHN 0            6160868          308044478   1007
      1220 CHN 0            6160926          308047378   1020
      1222 CHN 0            6171639          308583030    695
      1224 CHN 0            6173938          308697980    203
      1226 CHN 0            6176142          308808181   1022
      1228 CHN 0            6197196          309860885   1027
      1230 CHN 0            6205128          310257486   1136
      1232 CHN 0            6215419          310772038   1025
      1234 CHN 0            6223086          311155389    986
      1236 CHN 0            6237438          311872992   1014
      1238 CHN 0            6261641          313083146    991
      1240 CHN 0            6266732          313337697   1116
      1242 CHN 0            6267226          313362397   1166
      1244 CHN 0            6269076          313454897   1026
      1246 CHN 0            6270949          313548547   1006
      1248 CHN 0            6279501          313976149   1059
      1250 CHN 0            6288743          314438251    695
      1252 CHN 0            6312407          315621455   1061
      1254 CHN 0            6317585          315880356    317
      1256 CHN 0            6340781          317040160   1006
      1258 CHN 0            6354102          317706212   1033
      1260 CHN 0            6356516          317826912    986
      1262 CHN 0            6379993          319000767   1018
      1264 CHN 0            6388566          319429418    970
      1266 CHN 0            6391311          319566668   1040
      1268 CHN 0            6400044          320003320   1284
      1270 CHN 0            6416175          320809873   1005
      1272 CHN 0            6423912          321196724    987
      1274 CHN 0            6438129          321907577   1058
      1276 CHN 0            6448477          322424978   1002
      1278 CHN 0            6456332          322817730    694
      1280 CHN 0            6473621          323682183    998
      1281 CHN 0            6473725          323687383   1057
      1283 CHN 0            6479227          323962484   1005
      1285 CHN 0            6485078          324255035   1055
      1287 CHN 0            6486411          324321685    641
      1289 CHN 0            6487095          324355885    999
      1291 CHN 0            6489437          324472986   1053
      1293 CHN 0            6497032          324852737   1030
      1295 CHN 0            6510863          325544289   1153
      1297 CHN 0            6512719          325637090   1068
      1299 CHN 0            6514970          325749640    988
      1301 CHN 0            6526149          326308592    995
      1303 CHN 0            6543814          327191845   1129
      1305 CHN 0            6546105          327306396    999
      1307 CHN 0            6548250          327413646   1025
      1309 CHN 0            6554542          327728247   1015
      1311 CHN 0            6576882          328845251   1072
      1313 CHN 0            6591500          329576154   1015
